catalog,well,plate,order,family,genus,species,date,dates_corr,year,orders
CASENT8551555,H6,CAS_P38,Coleoptera,Curculionidae,Ophryastes,Ophryastes desertus,2023-03-14,2023-03-14,2023,Coleoptera
CASENT8539177,A7,CAS_P38,Coleoptera,Staphylinidae,Nicrophorus,Nicrophorus nigrita,2022-05-13,2022-05-13,2022,Coleoptera
CASENT8539970,B7,CAS_P38,Coleoptera,Staphylinidae,Nicrophorus,Nicrophorus nigrita,2022-09-13,2022-09-13,2022,Coleoptera
CASENT8539984,C7,CAS_P38,Coleoptera,Staphylinidae,Nicrophorus,Nicrophorus nigrita,2022-09-13,2022-09-13,2022,Coleoptera
CASENT8539955,D7,CAS_P38,Coleoptera,Staphylinidae,Nicrophorus,Nicrophorus nigrita,2022-10-10,2022-10-10,2022,Coleoptera
CASENT8559850,E7,CAS_P38,Coleoptera,Meloidae,Lytta,Lytta magister,2023-04-25,2023-04-25,2023,Coleoptera
CASENT8551156,F7,CAS_P38,Coleoptera,Scarabaeidae,Phyllophaga,NA,2023-08-15,2023-08-15,2023,Coleoptera
CASENT8570282,G7,CAS_P38,Coleoptera,Scarabaeidae,Phyllophaga,NA,2023-08-15,2023-08-15,2023,Coleoptera
CASENT8560088,H7,CAS_P38,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8540129,A1,CAS_P39,Lepidoptera,Noctuidae,Agrotis,Agrotis ipsilon,2022-10-18,2022-10-18,2022,Lepidoptera
CASENT8540073,B1,CAS_P39,Lepidoptera,Noctuidae,Agrotis,Agrotis ipsilon,2022-10-18,2022-10-18,2022,Lepidoptera
CASENT8540088,C1,CAS_P39,Lepidoptera,Noctuidae,Euxoa,NA,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540130,D1,CAS_P39,Lepidoptera,Noctuidae,Euxoa,NA,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540354,E1,CAS_P39,Lepidoptera,Noctuidae,Euxoa,NA,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540018,F1,CAS_P39,Lepidoptera,Noctuidae,Parabagrotis,NA,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540407,G1,CAS_P39,Lepidoptera,Noctuidae,Ufeus,Ufeus satyricus,2022-10-18,2022-10-18,2022,Lepidoptera
CASENT8540326,H1,CAS_P39,Lepidoptera,Noctuidae,Mesogona,NA,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540314,A2,CAS_P39,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8539942,B2,CAS_P39,Lepidoptera,Noctuidae,Mesogona,NA,2022-09-13,2022-09-13,2022,Lepidoptera
CASENT8540028,C2,CAS_P39,Lepidoptera,Noctuidae,Euxoa,Euxoa comosa,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540379,D2,CAS_P39,Lepidoptera,Noctuidae,Mesogona,Mesogona olivata,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540172,E2,CAS_P39,Lepidoptera,Noctuidae,NA,NA,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540311,F2,CAS_P39,Lepidoptera,Noctuidae,Euxoa,NA,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540241,G2,CAS_P39,Lepidoptera,Noctuidae,Caradrina,Caradrina atrostriga,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540101,H2,CAS_P39,Lepidoptera,Noctuidae,Caradrina,Caradrina atrostriga,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540157,A3,CAS_P39,Lepidoptera,Noctuidae,Caradrina,Caradrina atrostriga,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8539872,B3,CAS_P39,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia leucogramma,2022-09-13,2022-09-13,2022,Lepidoptera
CASENT8540228,C3,CAS_P39,Lepidoptera,Noctuidae,Agrochola,Agrochola purpurea,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540257,D3,CAS_P39,Lepidoptera,Noctuidae,Euxoa,Euxoa comosa,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540271,E3,CAS_P39,Lepidoptera,Noctuidae,Ufeus,Ufeus satyricus,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540098,F3,CAS_P39,Lepidoptera,Noctuidae,Ufeus,Ufeus satyricus,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8539912,G3,CAS_P39,Lepidoptera,Noctuidae,Pseudorthodes,Pseudorthodes puerilis,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8540313,H3,CAS_P39,Lepidoptera,Noctuidae,Ufeus,Ufeus satyricus,2022-10-19,2022-10-19,2022,Lepidoptera
CASENT8540033,A4,CAS_P39,Lepidoptera,Noctuidae,Fishia,Fishia discors,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540214,B4,CAS_P39,Lepidoptera,Noctuidae,Fishia,Fishia discors,2022-10-19,2022-10-19,2022,Lepidoptera
CASENT8540117,C4,CAS_P39,Lepidoptera,Noctuidae,Xylena,Xylena thoracica,2022-10-19,2022-10-19,2022,Lepidoptera
CASENT8539926,D4,CAS_P39,Lepidoptera,Noctuidae,Andropolia,Andropolia olga,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8539954,E4,CAS_P39,Lepidoptera,Noctuidae,Hydraecia,Hydraecia obliqua,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8539871,F4,CAS_P39,Lepidoptera,Noctuidae,Hydraecia,Hydraecia obliqua,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540030,G4,CAS_P39,Lepidoptera,Noctuidae,Oligia,Oligia divesta,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540199,H4,CAS_P39,Lepidoptera,Noctuidae,Oligia,Oligia divesta,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540047,A5,CAS_P39,Lepidoptera,Noctuidae,Pleromelloida,Pleromelloida cinerea,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540154,B5,CAS_P39,Lepidoptera,Noctuidae,Brachylomia,Brachylomia curvifascia,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8540131,C5,CAS_P39,Lepidoptera,Noctuidae,Euxoa,Euxoa brevipennis,2022-10-19,2022-10-19,2022,Lepidoptera
CASENT8539969,D5,CAS_P39,Lepidoptera,Noctuidae,Zosteropoda,Zosteropoda hirtipes,2022-09-13,2022-09-13,2022,Lepidoptera
CASENT8539939,E5,CAS_P39,Lepidoptera,Noctuidae,Zosteropoda,Zosteropoda hirtipes,2022-09-13,2022-09-13,2022,Lepidoptera
CASENT8540378,F5,CAS_P39,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8540355,G5,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia mys,2022-09-30,2022-09-30,2022,Lepidoptera
CASENT8551562,H5,CAS_P39,Lepidoptera,Noctuidae,Homorthodes,Homorthodes hanhami,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8540226,A6,CAS_P39,Lepidoptera,Noctuidae,Lithophane,Lithophane ponderosa,2022-10-18,2022-10-18,2022,Lepidoptera
CASENT8540074,B6,CAS_P39,Lepidoptera,Noctuidae,Lithophane,Lithophane ponderosa,2022-10-19,2022-10-19,2022,Lepidoptera
CASENT8539941,C6,CAS_P39,Lepidoptera,Noctuidae,Homorthodes,Homorthodes communis,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8539997,D6,CAS_P39,Lepidoptera,Noctuidae,Homorthodes,Homorthodes communis,2022-10-10,2022-10-10,2022,Lepidoptera
CASENT8539879,E6,CAS_P39,Lepidoptera,Noctuidae,Autographa,Autographa californica,2022-09-26,2022-09-26,2022,Lepidoptera
CASENT8551565,F6,CAS_P39,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8539878,G6,CAS_P39,Lepidoptera,Noctuidae,Parabagrotis,Parabagrotis insularis,2022-09-26,2022-09-26,2022,Lepidoptera
CASENT8539935,H6,CAS_P39,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta,2022-09-26,2022-09-26,2022,Lepidoptera
CASENT8539863,A7,CAS_P39,Lepidoptera,Noctuidae,NA,NA,2022-09-15,2022-09-15,2022,Lepidoptera
CASENT8539874,B7,CAS_P39,Lepidoptera,Noctuidae,Peridroma,Peridroma saucia,2022-09-26,2022-09-26,2022,Lepidoptera
CASENT8539960,C7,CAS_P39,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia quadrilineata,2022-09-20,2022-09-20,2022,Lepidoptera
CASENT8539990,D7,CAS_P39,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia quadrilineata,2022-10-12,2022-10-12,2022,Lepidoptera
CASENT8551397,E7,CAS_P39,Lepidoptera,Noctuidae,Unciella,Unciella primula,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8551459,F7,CAS_P39,Lepidoptera,Noctuidae,Egira,Egira hiemalis,2023-02-15,2023-02-15,2023,Lepidoptera
CASENT8551014,G7,CAS_P39,Lepidoptera,Noctuidae,Egira,Egira hiemalis,2023-02-15,2023-02-15,2023,Lepidoptera
CASENT8551180,H7,CAS_P39,Lepidoptera,Noctuidae,Egira,Egira hiemalis,2023-02-15,2023-02-15,2023,Lepidoptera
CASENT8551011,A8,CAS_P39,Lepidoptera,Noctuidae,Anarta,NA,2023-03-11,2023-03-11,2023,Lepidoptera
CASENT8551298,B8,CAS_P39,Lepidoptera,Noctuidae,Schinia,Schinia niveicosta,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8551075,C8,CAS_P39,Lepidoptera,Noctuidae,Schinia,Schinia niveicosta,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8551380,D8,CAS_P39,Lepidoptera,Noctuidae,Argentostiria,Argentostiria koebelei,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8551308,E8,CAS_P39,Lepidoptera,Noctuidae,Schinia,Schinia niveicosta,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8551251,F8,CAS_P39,Lepidoptera,Noctuidae,Unciella,Unciella primula,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8551572,G8,CAS_P39,Lepidoptera,Noctuidae,Schinia,Schinia deserticola,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8551009,H8,CAS_P39,Lepidoptera,Noctuidae,Triocnemis,Triocnemis saporis,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8551234,A9,CAS_P39,Lepidoptera,Noctuidae,Acontia,Acontia cretata,2023-03-12,2023-03-12,2023,Lepidoptera
CASENT8569207,B9,CAS_P39,Lepidoptera,Noctuidae,Schinia,Schinia ligeae,2023-04-27,2023-04-27,2023,Lepidoptera
CASENT8559701,C9,CAS_P39,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8570183,D9,CAS_P39,Lepidoptera,Noctuidae,Trichoplusia,Trichoplusia ni,2023-08-15,2023-08-15,2023,Lepidoptera
CASENT8569391,E9,CAS_P39,Lepidoptera,Noctuidae,Oxycnemis,Oxycnemis fusimacula,2023-04-28,2023-04-28,2023,Lepidoptera
CASENT8569381,F9,CAS_P39,Lepidoptera,Noctuidae,Oxycnemis,Oxycnemis fusimacula,2023-04-28,2023-04-28,2023,Lepidoptera
CASENT8569377,G9,CAS_P39,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8569284,H9,CAS_P39,Lepidoptera,Noctuidae,Pseudobryomima,Pseudobryomima fallax,2023-04-28,2023-04-28,2023,Lepidoptera
CASENT8539181,A10,CAS_P39,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8539166,B10,CAS_P39,Lepidoptera,Noctuidae,Leucania,Leucania farcta,2022-05-13,2022-05-13,2022,Lepidoptera
CASENT8539171,C10,CAS_P39,Lepidoptera,Noctuidae,Zosteropoda,Zosteropoda hirtipes,2022-05-13,2022-05-13,2022,Lepidoptera
CASENT8539174,D10,CAS_P39,Lepidoptera,Noctuidae,Parabagrotis,Parabagrotis cupidissima,2022-05-13,2022-05-13,2022,Lepidoptera
CASENT8539175,E10,CAS_P39,Lepidoptera,Noctuidae,Pseudorthodes,Pseudorthodes puerilis,2022-05-13,2022-05-13,2022,Lepidoptera
CASENT8539153,F10,CAS_P39,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia patalis,2022-05-13,2022-05-13,2022,Lepidoptera
CASENT8539152,G10,CAS_P39,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia patalis,2022-05-13,2022-05-13,2022,Lepidoptera
CASENT8551224,H10,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia behrensiana,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551003,A11,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia behrensiana,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551416,B11,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia behrensiana,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551525,C11,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia behrensiana,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551188,D11,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia mys,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551130,E11,CAS_P39,Lepidoptera,Noctuidae,Sympistis,Sympistis perscripta,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551097,F11,CAS_P39,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8539913,G11,CAS_P39,Lepidoptera,Noctuidae,Lithophane,Lithophane pertorrida,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8570447,H11,CAS_P39,NA,NA,NA,NA,NA,NA,NA,NA
CASENT8551191,A12,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia erythrolita,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551405,B12,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia erythrolita,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551183,C12,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia ferrigera,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551481,D12,CAS_P39,Lepidoptera,Noctuidae,Orthosia,Orthosia behrensiana,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551452,E12,CAS_P39,Lepidoptera,Noctuidae,Egira,Egira curialis,2023-02-16,2023-02-16,2023,Lepidoptera
CASENT8551455,F12,CAS_P39,Lepidoptera,Noctuidae,Pleromelloida,Pleromelloida conserta,2023-02-16,2023-02-16,2023,Lepidoptera
23U835,A1,CDFA_P13,Coleoptera,Carabidae,Bradycellus,sp.,01.VI.1980,1980-06-01,1980,Coleoptera
23U836,B1,CDFA_P13,Coleoptera,Carabidae,Bradycellus,sp.,01.VI.1980,1980-06-01,1980,Coleoptera
23U837,C1,CDFA_P13,Coleoptera,Dytiscidae,Liodessus,affinis,26.III.1987,1987-03-26,1987,Coleoptera
23U838,D1,CDFA_P13,Coleoptera,Dytiscidae,Bidessus,sp.,25.III.1987,1987-03-25,1987,Coleoptera
23U839,E1,CDFA_P13,Coleoptera,Dytiscidae,Uvarus,subtilis,22.IV.1987,1987-04-22,1987,Coleoptera
23U840,F1,CDFA_P13,Coleoptera,Dytiscidae,Hygrotus,sayi,26.III.1987,1987-03-26,1987,Coleoptera
23U841,G1,CDFA_P13,Coleoptera,Dytiscidae,Hydroporus,sp.,26.III.1987,1987-03-26,1987,Coleoptera
23U842,H1,CDFA_P13,Coleoptera,Dytiscidae,Hydroporus,sp.,02.V.1983,1983-05-02,1983,Coleoptera
23U843,A2,CDFA_P13,Coleoptera,Dytiscidae,Oreodytes,picturatus,28.VIII.1986,1986-08-28,1986,Coleoptera
23U844,B2,CDFA_P13,Coleoptera,Haliplidae,Haliplus,gracilis,25.VIII.1981,1981-08-25,1981,Coleoptera
23U845,C2,CDFA_P13,Coleoptera,Haliplidae,Haliplus,immaculicollis,10.VII.1985,1985-07-10,1985,Coleoptera
23U847,D2,CDFA_P13,Coleoptera,Haliplidae,Peltodytes,callosus,26.III.1987,1987-03-26,1987,Coleoptera
23U848,E2,CDFA_P13,Coleoptera,Haliplidae,Peltodytes,simplex,11.IX.1993,1993-09-11,1993,Coleoptera
23U849,F2,CDFA_P13,Coleoptera,Haliplidae,Apteraliplus,parvulus,25.III.1987,1987-03-25,1987,Coleoptera
23U850,G2,CDFA_P13,Coleoptera,Helophoridae,Helophorus,eclectus,10.VII.1980,1980-07-10,1980,Coleoptera
23U851,H2,CDFA_P13,Coleoptera,Hydrochidae,Hydrochus,sp.,07.VIII.1980,1980-08-07,1980,Coleoptera
23U852,A3,CDFA_P13,Coleoptera,Hydrophilidae,Laccobius,borealis,08.VIII.1981,1981-08-08,1981,Coleoptera
23U853,B3,CDFA_P13,Coleoptera,Hydrophilidae,Laccobius,californicus,03.IV.1981,1981-04-03,1981,Coleoptera
23U854,C3,CDFA_P13,Coleoptera,Hydrophilidae,Laccobius,ellipticus,03.IV.1981,1981-04-03,1981,Coleoptera
23U855,D3,CDFA_P13,Coleoptera,Hydrophilidae,Laccobius,oregonensis,13.I.1981,1981-01-13,1981,Coleoptera
23U856,E3,CDFA_P13,Coleoptera,Hydrophilidae,Paracymus,sp.,07.VIII.1980,1980-08-07,1980,Coleoptera
23U857,F3,CDFA_P13,Coleoptera,Hydrophilidae,Anacaena,sp.,01.VI.1980,1980-06-01,1980,Coleoptera
23U858,G3,CDFA_P13,Coleoptera,Hydrophilidae,Cercyon,fimbriatus,30.V.2016,2016-05-30,2016,Coleoptera
23U859,H3,CDFA_P13,Coleoptera,Hydrophilidae,Cercyon,herceus herceus,24.VIII.1980,1980-08-24,1980,Coleoptera
23U860,A4,CDFA_P13,Coleoptera,Hydrophilidae,Cercyon,praetextatus,12.V.1980,1980-05-12,1980,Coleoptera
23U861,B4,CDFA_P13,Coleoptera,Hydrophilidae,Cercyon,quisquilius,30.V.1981,1981-05-30,1981,Coleoptera
23U862,C4,CDFA_P13,Coleoptera,Hydrophilidae,Megasternum,posticatum,09.II.1982,1982-02-09,1982,Coleoptera
23U863,D4,CDFA_P13,Coleoptera,Georissidae,Georissus,californicus,24.X.1991,1991-10-24,1991,Coleoptera
23U864,E4,CDFA_P13,Coleoptera,Agyrtidae,Ipelates,latus,II.1984,NA,NA,Coleoptera
23U865,F4,CDFA_P13,Coleoptera,Hydraenidae,Neochthebius,vandykei,11.XI.1981,1981-11-11,1981,Coleoptera
23U866,G4,CDFA_P13,Coleoptera,Ptiliidae,Ptenidium,sp.,08.III.1981,1981-03-08,1981,Coleoptera
23U867,H4,CDFA_P13,Coleoptera,Ptiliidae,Ptilium,sp.,08.III.1981,1981-03-08,1981,Coleoptera
23U868,A5,CDFA_P13,Coleoptera,Ptiliidae,Acrotrichis,sp.,08.III.1981,1981-03-08,1981,Coleoptera
23U869,B5,CDFA_P13,Coleoptera,Leiodidae,Colon,sp.,31.VI.1985,NA,NA,Coleoptera
23U870,C5,CDFA_P13,Coleoptera,Leiodidae,Leiodes,sp.,22.VI.1994,1994-06-22,1994,Coleoptera
23U871,D5,CDFA_P13,Coleoptera,Leiodidae,Agathidium,angulare,27.II.1986,1986-02-27,1986,Coleoptera
23U873,E5,CDFA_P13,Coleoptera,Leiodidae,Agathidium,concinnum,28.IV.1992,1992-04-28,1992,Coleoptera
23U874,F5,CDFA_P13,Coleoptera,Leiodidae,Agathidium,depressum,05.IV.1982,1982-04-05,1982,Coleoptera
23U876,G5,CDFA_P13,Coleoptera,Leiodidae,Agathidium,estriatum,17.VI.1988,1988-06-17,1988,Coleoptera
23U877,H5,CDFA_P13,Coleoptera,Leiodidae,Agathidium,exiguum,20.VII.1983,1983-07-20,1983,Coleoptera
23U878,A6,CDFA_P13,Coleoptera,Leiodidae,Agathidium,pulchrum,18.IV.1986,1986-04-18,1986,Coleoptera
23U880,B6,CDFA_P13,Coleoptera,Leiodidae,Agathidium,virile,21.II.1989,1989-02-21,1989,Coleoptera
23U881,C6,CDFA_P13,Coleoptera,Leiodidae,Anisotoma,errans,20.VII.1983,1983-07-20,1983,Coleoptera
23U882,D6,CDFA_P13,Coleoptera,Leiodidae,Anisotoma,nevadensis,01.VII.1985,1985-07-01,1985,Coleoptera
23U883,E6,CDFA_P13,Coleoptera,Leiodidae,Hydnobius,longidens,13.VII.1987,1987-07-13,1987,Coleoptera
23U884,F6,CDFA_P13,Coleoptera,Leiodidae,Kalohydnobius,strigilatus,30.V.2000,2000-05-30,2000,Coleoptera
23U885,G6,CDFA_P13,Coleoptera,Leiodidae,Triarthron,lecontei,01.VII.1987,1987-07-01,1987,Coleoptera
23U886,H6,CDFA_P13,Coleoptera,Leiodidae,Nemadus,decipiens,02.V.1990,1990-05-02,1990,Coleoptera
23U887,A7,CDFA_P13,Coleoptera,Leiodidae,Nemadus,pusio,25.II.1992,1992-02-25,1992,Coleoptera
23U888,B7,CDFA_P13,Coleoptera,Leiodidae,Dissochaetus,sp.,15.VI.1982,1982-06-15,1982,Coleoptera
23U889,C7,CDFA_P13,Coleoptera,Leiodidae,Catops,basilaris,19.VIII.1981,1981-08-19,1981,Coleoptera
23U890,D7,CDFA_P13,Coleoptera,Leiodidae,Catops,basilaris,15.X.1984,1984-10-15,1984,Coleoptera
23U891,E7,CDFA_P13,Coleoptera,Leiodidae,Ptomaphagus,californicus,14.III.1985,1985-03-14,1985,Coleoptera
23U892,F7,CDFA_P13,Coleoptera,Leiodidae,Ptomaphagus,californicus,30.V.2000,2000-05-30,2000,Coleoptera
23U893,G7,CDFA_P13,Coleoptera,Leiodidae,Ptomaphagus,fisus,VIII.1989,NA,NA,Coleoptera
23U894,H7,CDFA_P13,Coleoptera,Leiodidae,Ptomaphagus,fisus,01.IV.1994,1994-04-01,1994,Coleoptera
23U895,A8,CDFA_P13,Coleoptera,Leiodidae,Ptomaphagus,inyoensis,01.IX.1992,1992-09-01,1992,Coleoptera
23U896,B8,CDFA_P13,Coleoptera,Leiodidae,Ptomaphagus,“nevadicus”,27.X.1987,1987-10-27,1987,Coleoptera
23U897,C8,CDFA_P13,Coleoptera,Leiodidae,Platypsyllus,castoris,24.VI.1988,1988-06-24,1988,Coleoptera
23U898,D8,CDFA_P13,Coleoptera,Leiodidae,Pinodytes,delnorte,27.XI.1985,1985-11-27,1985,Coleoptera
23U899,E8,CDFA_P13,Coleoptera,Leiodidae,Pinodytes,humboldtensis,16.X.1985,1985-10-16,1985,Coleoptera
23U900,F8,CDFA_P13,Coleoptera,Leiodidae,Pinodytes,pusio,15.XI.1984,1984-11-15,1984,Coleoptera
23U901,G8,CDFA_P13,Coleoptera,Leiodidae,Pinodytes,tehama,04.I.1984,1984-01-04,1984,Coleoptera
23U902,H8,CDFA_P13,Coleoptera,Staphylinidae,Eutheia,sp.,23.II.1984,1984-02-23,1984,Coleoptera
23U903,A9,CDFA_P13,Coleoptera,Staphylinidae,Veraphis,sp.,17.VI.1988,1988-06-17,1988,Coleoptera
23U904,B9,CDFA_P13,Coleoptera,Staphylinidae,Catalinus,sp.,15.II.1983,1983-02-15,1983,Coleoptera
23U905,C9,CDFA_P13,Coleoptera,Staphylinidae,Euconnus,sp.,25.II.1987,1987-02-25,1987,Coleoptera
23U906,D9,CDFA_P13,Coleoptera,Staphylinidae,Lophioderus,arcifer,27.XI.1985,1985-11-27,1985,Coleoptera
23U907,E9,CDFA_P13,Coleoptera,Staphylinidae,Lophioderus,humboldt,09.I.1980,1980-01-09,1980,Coleoptera
23U908,F9,CDFA_P13,Coleoptera,Staphylinidae,Lophioderus,similis,22.V.1980,1980-05-22,1980,Coleoptera
23U909,G9,CDFA_P13,Coleoptera,Staphylinidae,Stenichnus,sp.,29.IX.1992,1992-09-29,1992,Coleoptera
23U910,H9,CDFA_P13,Coleoptera,Staphylinidae,Papusus,sp.,12.V.2023,2023-05-12,2023,Coleoptera
23U911,A10,CDFA_P13,Coleoptera,Staphylinidae,Trigonurus,sp.,21.II.1989,1989-02-21,1989,Coleoptera
23U912,B10,CDFA_P13,Coleoptera,Staphylinidae,Trigonurus,sp.,19.VI.1984,1984-06-19,1984,Coleoptera
23U913,C10,CDFA_P13,Coleoptera,Staphylinidae,Micropeplus,neotomae,15.IV.1981,1981-04-15,1981,Coleoptera
23U914,D10,CDFA_P13,Coleoptera,Staphylinidae,Micropeplus,punctatus,24.V.2020,2020-05-24,2020,Coleoptera
23U915,E10,CDFA_P13,Coleoptera,Staphylinidae,Micropeplus,punctatus,04.IX.2021,2021-09-04,2021,Coleoptera
23U916,F10,CDFA_P13,Coleoptera,Staphylinidae,Pseudopsis,montoraria,15.XI.1981,1981-11-15,1981,Coleoptera
23U917,G10,CDFA_P13,Coleoptera,Staphylinidae,Zalobius,spinicollis,31.VII.1980,1980-07-31,1980,Coleoptera
23U918,H10,CDFA_P13,Coleoptera,Staphylinidae,Nanobius,serricollis,12.III.1981,1981-03-12,1981,Coleoptera
23U919,A11,CDFA_P13,Coleoptera,Staphylinidae,Proteinus,sp.,28.II.1985,1985-02-28,1985,Coleoptera
23U920,B11,CDFA_P13,Coleoptera,Staphylinidae,Carpelimus,sp.,12.V.1997,1997-05-12,1997,Coleoptera
23U921,C11,CDFA_P13,Coleoptera,Staphylinidae,Apocellus,sp.,01.III.1981,1981-03-01,1981,Coleoptera
23U922,D11,CDFA_P13,Coleoptera,Staphylinidae,Aploderus,sp.,03.IV.1981,1981-04-03,1981,Coleoptera
23U923,E11,CDFA_P13,Coleoptera,Staphylinidae,Anotylus,sp.,07.I.1986,1986-01-07,1986,Coleoptera
23U925,F11,CDFA_P13,Coleoptera,Staphylinidae,Bledius,sp.,12.XI.1981,1981-11-12,1981,Coleoptera
23U926,G11,CDFA_P13,Coleoptera,Staphylinidae,Acrolocha,sp.,07.I.1986,1986-01-07,1986,Coleoptera
23U927,H11,CDFA_P13,Coleoptera,Staphylinidae,Dropephylla,cacti,28.VI.1986,1986-06-28,1986,Coleoptera
23U928,A12,CDFA_P13,Coleoptera,Staphylinidae,Hapalaraea,megarthroides,04.V.1989,1989-05-04,1989,Coleoptera
23U929,B12,CDFA_P13,Coleoptera,Staphylinidae,Phloeonomus,sp.,25.V.1989,1989-05-25,1989,Coleoptera
23U930,C12,CDFA_P13,Coleoptera,Staphylinidae,Phyllodrepa,sp.,20.XII.1982,1982-12-20,1982,Coleoptera
23U931,D12,CDFA_P13,Coleoptera,Staphylinidae,Omalium,algarum,10.II.1982,1982-02-10,1982,Coleoptera
23U932,E12,CDFA_P13,Coleoptera,Staphylinidae,Omalium,plagiatum,13.III.1985,1985-03-13,1985,Coleoptera
23U933,F12,CDFA_P13,Coleoptera,Staphylinidae,Paraphloeostiba,gayndahensis,08.I.2002,2002-01-08,2002,Coleoptera
23U954,A1,CDFA_P14,Diptera (Brachycera),Clusiidae,Clusia,occidentalis,11.VI.2007,2007-06-11,2007,Diptera
23U955,B1,CDFA_P14,Diptera (Brachycera),Canacidae,Pelomyia,coronata,20.X.1988,1988-10-20,1988,Diptera
23U956,C1,CDFA_P14,Diptera (Brachycera),Canacidae,Pelomyia,coronata,20.X.1988,1988-10-20,1988,Diptera
23U957,D1,CDFA_P14,Diptera (Brachycera),Canacidae,Pelomyia,occidentalis,25.IV.2002,2002-04-25,2002,Diptera
23U958,E1,CDFA_P14,Diptera (Brachycera),Canacidae,Tethina,spinulosa,15.VI.2003,2003-06-15,2003,Diptera
23U959,F1,CDFA_P14,Diptera (Brachycera),Canacidae,Tethina,spinulosa,15.VI.2003,2003-06-15,2003,Diptera
23U960,G1,CDFA_P14,Diptera (Brachycera),Drosophilidae,Amiota,picta,24.V.2009,2009-05-24,2009,Diptera
23U961,H1,CDFA_P14,Diptera (Brachycera),Drosophilidae,Amiota,picta,24.V.2009,2009-05-24,2009,Diptera
