"catalog","order","family","genus","species","date","dates_corr","year","orders"
"CASENT9130017","Trichoptera","Psychomyiidae","Tinodes","provo","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9131170","Trichoptera","Rhyacophilidae","Rhyacophila","sp.","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9131188","Trichoptera","Hydropsychidae","Ceratopsyche","oslari","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130752","Trichoptera","Hydropsychidae","Cheumatopsyche","mickeli","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130476","Trichoptera","Philopotamidae","Wormaldia","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130666","Trichoptera","Hydroptilidae","Hydroptila","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130206","Trichoptera","Glossosomatidae","Agapetus","celatus","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130054","Trichoptera","Brachycentridae","Micrasema","diteris","5/6/19",2019-05-06,"2019","Trichoptera"
"CASLOT062896","Trichoptera","Hydropsychidae","Hydropsyche","oslari","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130033","Trichoptera","Rhyacophilidae","Rhyacophila","vedra","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130055","Trichoptera","Sericostomatidae","Gumaga","griseola","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9102977","Diptera","Tipulidae","Holorusia","hespera","5/6/19",2019-05-06,"2019","Diptera"
"CASENT9130237","Diptera","Empididae","Chelifera","sp.","5/6/19",2019-05-06,"2019","Diptera"
"CASENT9130191","Trichoptera","Leptoceridae","Ylodes","frontalis","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130653","Trichoptera","Hydroptilidae","Hydroptila","arctia","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130076","Trichoptera","Psychomyiidae","Tinodes","consuetus","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130302","Trichoptera","Philopotamidae","Wormaldia","sp.","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130220","Trichoptera","Psychomyiidae","Tinodes","provo","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130590","Trichoptera","Hydropsychidae","Hydropsyche","philo","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9131261","Trichoptera","Hydropsychidae","Ceratopsyche","oslari","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9131043","Trichoptera","Sericostomatidae","Gumaga","griseola","5/7/19",2019-05-07,"2019","Trichoptera"
"CASENT9130970","Trichoptera","Psychomyiidae","Tinodes","sp.","5/7/19",2019-05-07,"2019","Trichoptera"
"CASENT9130308","Trichoptera","Philopotamidae","Wormaldia","sp.","5/7/19",2019-05-07,"2019","Trichoptera"
"CASENT9131414","Trichoptera","Hydroptilidae","Ochrotrichia","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130759","Trichoptera","Hydroptilidae","Neotrichia","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130809","Trichoptera","Hydroptilidae","Oxyethira","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9131413","Trichoptera","Hydroptilidae","Hydroptila","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASLOT062785","Trichoptera","Hydropsychidae","Hydropsyche","philo","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9131343","Trichoptera","Hydropsychidae","Cheumatopsyche","mickeli","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130042","Trichoptera","Leptoceridae","Oecetis","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9131237","Trichoptera","Hydropsychidae","Hydropsyche","philo","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9131201","Trichoptera","Hydropsychidae","Hydropsyche","oslari","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130045","Trichoptera","Psychomyiidae","Tinodes","provo","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130078","Trichoptera","Psychomyiidae","Tinodes","consuetus","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130586","Trichoptera","Psychomyiidae","Tinodes","sp.","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130082","Trichoptera","Lepidostomatidae","Lepidostoma","unicolor","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130047","Trichoptera","Brachycentridae","Micrasema","diteris","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130838","Trichoptera","Hydroptilidae","Hydroptila","sp.","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130669","Trichoptera","Hydroptilidae","Ochrotrichia","alsea","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9131206","Trichoptera","Hydropsychidae","Hydropsyche","philo","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130184","Trichoptera","Lepidostomatidae","Lepidostoma","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130826","Trichoptera","Psychomyiidae","Tinodes","sp.","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130902","Trichoptera","Hydropsychidae","Cheumatopsyche","mickeli","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130243","Trichoptera","Leptoceridae","Ylodes","frontalis","5/6/19",2019-05-06,"2019","Trichoptera"
"CASENT9130245","Trichoptera","Rhyacophilidae","Rhyacophila","vedra","5/7/19",2019-05-07,"2019","Trichoptera"
"CASENT9132097","Plecoptera","Nemouridae","Malenka","depressa","5/7/19",2019-05-07,"2019","Plecoptera"
"CASENT9132019","Plecoptera","Nemouridae","Malenka","biloba","5/9/19",2019-05-09,"2019","Plecoptera"
"CASENT9130585","Trichoptera","Hydropsychidae","Hydropsyche","philo","5/9/19",2019-05-09,"2019","Trichoptera"
"CASENT9132137","Plecoptera","Perlodidae","Isoperla","denningi","5/7/19",2019-05-07,"2019","Plecoptera"
"CASENT9131945","Plecoptera","Nemouridae","Malenka","biloba","5/7/19",2019-05-07,"2019","Plecoptera"
"CASENT9132610","Plecoptera","Capniidae","Mesocapnia","sp.","5/8/19",2019-05-08,"2019","Plecoptera"
"CASENT9130037","Trichoptera","Leptoceridae","Oecetis","sp.","5/8/19",2019-05-08,"2019","Trichoptera"
"CASENT9130685","Trichoptera","Philopotamidae","Wormaldia","gabriella","5/7/19",2019-05-07,"2019","Trichoptera"
"CASENT9130486","Trichoptera","Psychomyiidae","Tinodes","consueta","5/7/19",2019-05-07,"2019","Trichoptera"
"CASENT9130046","Trichoptera","Rhyacophilidae","Rhyacophila","vedra","5/9/19",2019-05-09,"2019","Trichoptera"
"CASENT9130083","Trichoptera","Psychomyiidae","Tinodes","provo","5/9/19",2019-05-09,"2019","Trichoptera"
"CASENT9130602","Trichoptera","Psychomyiidae","Tinodes","sp.","5/9/19",2019-05-09,"2019","Trichoptera"
"CASENT9132979","Plecoptera","Nemouridae","Malenka","biloba","5/9/19",2019-05-09,"2019","Plecoptera"
"CASENT9132652","Plecoptera","Capniidae","Mesocapnia","sp.","5/9/19",2019-05-09,"2019","Plecoptera"
"CASENT9132231","Coleoptera","Psephenidae","Eubrianax","edwardsii","5/9/19",2019-05-09,"2019","Coleoptera"
"CASENT9132916","Plecoptera","Nemouridae","Malenka","biloba","5/8/19",2019-05-08,"2019","Plecoptera"
"CASENT9130132","Trichoptera","Philopotamidae","Wormaldia","gabriella","5/7/19",2019-05-07,"2019","Trichoptera"
"CASENT9130773","Trichoptera","Hydropsychidae","Cheumatopsyche","mickeli","5/7/19",2019-05-07,"2019","Trichoptera"
"CASENT9130152","Trichoptera","Psychomyiidae","Tinodes","consuetus","5/7/19",2019-05-07,"2019","Trichoptera"
"CASLOT062939","Trichoptera","Leptoceridae","Ylodes","frontalis","5/7/19",2019-05-07,"2019","Trichoptera"
"CASLOT062003","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","5/7/19",2019-05-07,"2019","Ephemeroptera"
"CASENT9132114","Diptera","Dixidae","Dixa","sp.","5/7/19",2019-05-07,"2019","Diptera"
"CASENT9131933","Plecoptera","Perlodidae","Isoperla","denningi","5/8/19",2019-05-08,"2019","Plecoptera"
"CASLOT062004","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","5/8/19",2019-05-08,"2019","Ephemeroptera"
"CASLOT062491","Coleoptera","Dytiscidae","Agabus","sp.","5/8/19",2019-05-08,"2019","Coleoptera"
"CASLOT76023","Ephemeroptera","Baetidae","Baetis","tricaudatus","5/8/19",2019-05-08,"2019","Ephemeroptera"
"CASLOT064577","Coleoptera","Dytiscidae","Agabus","sp.","5/8/19",2019-05-08,"2019","Coleoptera"
"CASENT9130351","Coleoptera","Haliplidae","Peltodytes","simplex","5/8/19",2019-05-08,"2019","Coleoptera"
"CASLOT062005","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","5/8/19",2019-05-08,"2019","Ephemeroptera"
"CASLOT062822","Ephemeroptera","Baetidae","Anafroptilum","asperatum","5/8/19",2019-05-08,"2019","Ephemeroptera"
"CASENT9131477","Diptera","Dixidae","Dixella","sp.","5/8/19",2019-05-08,"2019","Diptera"
"CASENT9131112","Hemiptera","Corixidae","Graptocorixa","sp.","5/8/19",2019-05-08,"2019","Hemiptera"
"CASENT9131327","Hemiptera","Corixidae","Sigara","mckinstyri","5/8/19",2019-05-08,"2019","Hemiptera"
"CASLOT062490","Coleoptera","Dytiscidae","Stictotarsus","sp.","5/8/19",2019-05-08,"2019","Coleoptera"
"CASENT9115800","Coleoptera","Dytiscidae","Stictotarsus","striatellus","5/8/19",2019-05-08,"2019","Coleoptera"
"CASENT9130239","Diptera","Simuliidae","Simulium","hippovorum","5/8/19",2019-05-08,"2019","Diptera"
"CASLOT062774","Diptera","Simuliidae","Simulium","piperi","5/8/19",2019-05-08,"2019","Diptera"
"CASENT9130289","Diptera","Simuliidae","Simulium","piperi","5/8/19",2019-05-08,"2019","Diptera"
"CASLOT062858","Diptera","Simuliidae","Simulium","argus","5/8/19",2019-05-08,"2019","Diptera"
"CASENT9130769","Diptera","Simuliidae","Simulium","argus","5/8/19",2019-05-08,"2019","Diptera"
"CASLOT062006","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","associata","5/7/19",2019-05-07,"2019","Ephemeroptera"
"CASENT9116201","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","associata","5/8/19",2019-05-08,"2019","Ephemeroptera"
"CASLOT059489","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9128230","Ephemeroptera","Ameletidae","Ameletus","sp.","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASLOT062476","Ephemeroptera","Ephemerellidae","Epemerella","maculata","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9132466","Coleoptera","Elmidae","Optioservus","quadrimaculatus","4/7/19",2019-04-07,"2019","Coleoptera"
"CASENT9130462","Coleoptera","Elmidae","Zaitzevia","parvula","4/7/19",2019-04-07,"2019","Coleoptera"
"CASLOT76001","Ephemeroptera","Baetidae","Baetis","tricaudatus","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9127945","Ephemeroptera","Baetidae","Diphetor","hageni","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9132853","Coleoptera","Elmidae","Ordobrevia","sp.","4/7/19",2019-04-07,"2019","Coleoptera"
"CASENT9130499","Coleoptera","Eulichadidae","Stenocolus","scutellarus","4/7/19",2019-04-07,"2019","Coleoptera"
"CASENT9128231","Ephemeroptera","Ameletidae","Ameletus","sp.","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9132194","Coleoptera","Psephenidae","Eubrianax","edwardsii","4/7/19",2019-04-07,"2019","Coleoptera"
"CASLOT062477","Ephemeroptera","Ephemerellidae","Ephemerella","maculata","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASLOT062007","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9132366","Plecoptera","Chloroperlidae","Suwalia","sp.","4/7/19",2019-04-07,"2019","Plecoptera"
"CASENT9130409","Trichoptera","Philopotamidae","Chimarra","sp.","4/7/19",2019-04-07,"2019","Trichoptera"
"CASENT9132384",NA,"25338","Philopotamidae","quadrimaculatus","4/7/19",2019-04-07,"2019",NA
"CASLOT059574",NA,"25339","Elmidae",NA,"4/7/19",2019-04-07,"2019",NA
"CASENT9127919",NA,"25341","Simuliidae","hageni","4/7/19",2019-04-07,"2019",NA
"CASLOT76012","Ephemeroptera","Baetidae","Baetis","tricaudatus","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9130240","Trichoptera","Leptoceridae","Nectopsyche","gracilis","4/7/19",2019-04-07,"2019","Trichoptera"
"CASLOT062478","Ephemeroptera","Ephemerellidae","Eurylophella","lodi","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASLOT059490","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9130713","Coleoptera","Haliplidae","Peltodytes","callosus","4/7/19",2019-04-07,"2019","Coleoptera"
"CASENT9130296","Trichoptera","Lepidostomatidae","Lepidostoma","cinereum","4/7/19",2019-04-07,"2019","Trichoptera"
"CASENT9131192","Odonata","Coenagrionidae","Enallagma","sp.","4/7/19",2019-04-07,"2019","Odonata"
"CASENT9128132","Ephemeroptera","Baetidae","Baetis","tricaudatus","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASLOT75442","Ephemeroptera","Baetidae","Anafroptilum","conturbatum","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9130404","Trichoptera","Leptoceridae","Nectopsyche","gracilis","4/7/19",2019-04-07,"2019","Trichoptera"
"CASLOT059491","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASLOT75445","Ephemeroptera","Baetidae","Anafroptilum","conturbatum","4/7/19",2019-04-07,"2019","Ephemeroptera"
"CASENT9132107","Plecoptera","Perlidae","Calineuria","californica","4/10/19",2019-04-10,"2019","Plecoptera"
"CASLOT062479","Ephemeroptera","Ephemerellidae","Ephemerella","maculata","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASENT9130248","Trichoptera","Brachycentridae","Micrasema","sp.","4/10/19",2019-04-10,"2019","Trichoptera"
"CASENT9130730","Trichoptera","Glossosomatidae","Agapetus","sp.","4/10/19",2019-04-10,"2019","Trichoptera"
"CASENT9131438","Trichoptera","Hydropsychidae","Hydropsyche","sp.","4/10/19",2019-04-10,"2019","Trichoptera"
"CASENT9131332","Odonata","Coenagrionidae","Argia","vivida","4/10/19",2019-04-10,"2019","Odonata"
"CASENT9130324","Trichoptera","Leptoceridae","Nectopsyche","gracilis","4/10/19",2019-04-10,"2019","Trichoptera"
"CASENT9131699","Plecoptera","Chloroperlidae","Sweltsa","sp.","4/10/19",2019-04-10,"2019","Plecoptera"
"CASLOT062480","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASLOT75457","Ephemeroptera","Baetidae","Anafroptilum","conturbatum","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASENT9130449","Plecoptera","Pteronarcyidae","Pteronarcys","californica","4/9/19",2019-04-09,"2019","Plecoptera"
"CASENT9131354","Hemiptera","Notonectidae","Notonecta","sp.","4/10/19",2019-04-10,"2019","Hemiptera"
"CASENT9131361","Hemiptera","Veliidae","Microvelia","beameri","4/10/19",2019-04-10,"2019","Hemiptera"
"CASENT9130518","Hemiptera","Corixidae","Sigara","sp.","4/10/19",2019-04-10,"2019","Hemiptera"
"CASENT9132037","Coleoptera","Hydrophilidae","Tropisternus","lateralis","4/10/19",2019-04-10,"2019","Coleoptera"
"CASENT9130618","Ephemeroptera","Baetidae","Callibaetis","pictus","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASLOT75452","Ephemeroptera","Baetidae","Anafroptilum","conturbatum","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASENT9128168","Ephemeroptera","Baetidae","Anafroptilum","asperatum","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASENT9116404","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASENT9131223","Diptera","Culicidae","Culiseta","incidens","4/10/19",2019-04-10,"2019","Diptera"
"CASENT9131169","Diptera","Culicidae","Anopheles","puntipennis","4/10/19",2019-04-10,"2019","Diptera"
"CASLOT064523","Coleoptera","Dytiscidae","Stictotarsus","sp.","4/10/19",2019-04-10,"2019","Coleoptera"
"CASENT9115619","Coleoptera","Dytiscidae","Agabus","sp.","4/10/19",2019-04-10,"2019","Coleoptera"
"CASENT9131750","Diptera","Stratiomyidae","Caloparyphus","sp.","4/8/19",2019-04-08,"2019","Diptera"
"CASENT9131006","Ephemeroptera","Baetidae","Callibaetis","pictus","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASENT9130793","Ephemeroptera","Baetidae","Callibaetis","pictus","4/10/19",2019-04-10,"2019","Ephemeroptera"
"CASENT9131407","Diptera","Culicidae","Culex","tarsalis","4/9/19",2019-04-09,"2019","Diptera"
"CASENT9130665","Hemiptera","Corixidae","Corisella","sp.","4/9/19",2019-04-09,"2019","Hemiptera"
"CASENT9115655","Coleoptera","Dytiscidae","Agabus","sp.","4/9/19",2019-04-09,"2019","Coleoptera"
"CASLOT064515","Coleoptera","Dytiscidae","Stictotarsus","sp.","4/9/19",2019-04-09,"2019","Coleoptera"
"CASENT9131984","Coleoptera","Hydrophilidae","Tropisternus","sp.","4/9/19",2019-04-09,"2019","Coleoptera"
"CASLOT75449","Ephemeroptera","Baetidae","Anafroptilum","asperatum","4/9/19",2019-04-09,"2019","Ephemeroptera"
"CASENT9130843","Hemiptera","Corixidae","Hesperocorixa","sp.","4/9/19",2019-04-09,"2019","Hemiptera"
"CASENT9130914","Ephemeroptera","Baetidae","Callibaetis","fluctuans","4/9/19",2019-04-09,"2019","Ephemeroptera"
"CASENT9131141","Odonata","Lestidae","Lestes","sp.","4/9/19",2019-04-09,"2019","Odonata"
"CASENT9130842","Hemiptera","Corixidae","Corisella","inscripta","4/9/19",2019-04-09,"2019","Hemiptera"
"CASENT9132026","Coleoptera","Hydrophilidae","Tropisternus","sp.","4/9/19",2019-04-09,"2019","Coleoptera"
"CASENT9131273","Hemiptera","Notonectidae","Notonecta","sp.","4/9/19",2019-04-09,"2019","Hemiptera"
"CASENT9131246","Trichoptera","Leptoceridae","Mystacides","sp.","4/8/19",2019-04-08,"2019","Trichoptera"
"CASENT9131282","Trichoptera","Leptoceridae","Nectopsyche","gracilis","4/8/19",2019-04-08,"2019","Trichoptera"
"CASENT9130041","Trichoptera","Brachycentridae","Micrasema","sp.","4/8/19",2019-04-08,"2019","Trichoptera"
"CASLOT062481","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","4/8/19",2019-04-08,"2019","Ephemeroptera"
"CASENT9116405","Ephemeroptera","Ephemerellidae","Ephemerella","maculata","4/8/19",2019-04-08,"2019","Ephemeroptera"
"CASLOT75451","Ephemeroptera","Baetidae","Anafroptilum","conturbatum","4/8/19",2019-04-08,"2019","Ephemeroptera"
"CASENT9101342","Odonata","Libellulidae","Paltothemis","lineatipes","4/8/19",2019-04-08,"2019","Odonata"
"CASLOT064518","Coleoptera","Dytiscidae","Stictotarsus","sp.","4/9/19",2019-04-09,"2019","Coleoptera"
"CASENT9130649","Hemiptera","Notonectidae","Notonecta","sp.","4/9/19",2019-04-09,"2019","Hemiptera"
"CASENT9131096","Odonata","Lestidae","Lestes","sp.","4/9/19",2019-04-09,"2019","Odonata"
"CASLOT064532","Coleoptera","Dytiscidae","Stictotarsus","sp.","4/9/19",2019-04-09,"2019","Coleoptera"
"CASENT9131014","Hemiptera","Notonectidae","Notonecta","sp.","4/9/19",2019-04-09,"2019","Hemiptera"
"CASENT9101224","Araneae","Tetragnathidae","Tetragnatha","versicolor","4/18/19",2019-04-18,"2019","Araneae"
"CASENT9101198","Plecoptera","Leuctridae","Paraleuctra","divisa","3/15/19",2019-03-15,"2019","Plecoptera"
"CASENT9130221","Trichoptera","Odontoceridae","Nerophilus","californicus","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9101247","Plecoptera","Leuctridae","Paraleuctra","occidentalis","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9131691","Plecoptera","Chloroperlidae","Sweltsa","sp.","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9116202","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","temporalis","4/24/19",2019-04-24,"2019","Ephemeroptera"
"CASENT9130450","Plecoptera","Peltoperlidae","Soliperla","thyra","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9130244","Trichoptera","Odontoceridae","Nerophilus","californicus","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9131434","Trichoptera","Hydropsychidae","Homoplectra","norada","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9130981","Coleoptera","Psephenidae","Acneus","quadrimaculatus","4/24/19",2019-04-24,"2019","Coleoptera"
"CASENT9130707","Trichoptera","Odontoceridae","Nerophilus","californicus","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9131552","Plecoptera","Chloroperlidae","Sweltsa","borealis","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9132450","Plecoptera","Chloroperlidae","Alloperla","fraterna","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9130108","Trichoptera","Odontoceridae","Nerophilus","californicus","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9130536","Trichoptera","Hydropsychidae","Homoplectra","oaklandensis","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9130341","Trichoptera","Philopotamidae","Dolophilodes","dorcus","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9131022","Plecoptera","Peltoperlidae","Soliperla","thyra","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9132826","Plecoptera","Nemouridae","Zapada","frigida","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9132971","Plecoptera","Leuctridae","Paraleuctra","divisa","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9132234","Plecoptera","Leuctridae","Paraleuctra","vershina","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9131968","Plecoptera","Chloroperlidae","Sweltsa","borealis","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9132523","Plecoptera","Chloroperlidae","Alloperla","fraterna","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9130643","Trichoptera","Philopotamidae","Dolophilodes","dorcus","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9130797","Trichoptera","Hydropsychidae","Homoplectra","oaklandensis","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9130139","Trichoptera","Odontoceridae","Nerophilus","californicus","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9130581","Trichoptera","Rhyacophilidae","Rhyacophila","sp.","4/24/19",2019-04-24,"2019","Trichoptera"
"CASENT9131485","Plecoptera","Nemouridae","Zapada","frigida","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9132589","Plecoptera","Leuctridae","Paraleuctra","divisa","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9131969","Plecoptera","Chloroperlidae","Sweltsa","tamalpa","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9131540","Plecoptera","Chloroperlidae","Sweltsa","borealis","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9132594","Plecoptera","Chloroperlidae","Alloperla","fraterna","4/24/19",2019-04-24,"2019","Plecoptera"
"CASENT9101225","Araneae","Tetragnathidae","Tetragnatha","sp.","4/24/19",2019-04-24,"2019","Araneae"
"CASENT9130423",NA,"Thremmatidae","Neophylax","splendens","4/24/19",2019-04-24,"2019",NA
"CASENT9131366","Plecoptera","Peltoperlidae","Soliperla","thyra","4/24/19",2019-04-24,"2019","Plecoptera"
"CASLOT062163","Ephemeroptera","Heptageniidae","Epeorus","longimanus","4/24/19",2019-04-24,"2019","Ephemeroptera"
"CASLOT059057","Ephemeroptera","Ephemerellidae","Drunella","flavilinea","4/24/19",2019-04-24,"2019","Ephemeroptera"
"CASENT9130625","Diptera","Blephariceridae","Agathon","doanei","4/24/19",2019-04-24,"2019","Diptera"
"CASENT9131350","Ephemeroptera","Baetidae","Baetis","tricaudatus","4/24/19",2019-04-24,"2019","Ephemeroptera"
"CASENT9116203","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","temporalis","4/24/19",2019-04-24,"2019","Ephemeroptera"
"CASENT9116406","Ephemeroptera","Ephemerellidae","Matriella","teresa","4/24/19",2019-04-24,"2019","Ephemeroptera"
"CASLOT062228","Ephemeroptera","Heptageniidae","Nixe","kennedyi","6/6/19",2019-06-06,"2019","Ephemeroptera"
"CASENT9132053","Plecoptera","Perlidae","Calineuria","californica","6/6/19",2019-06-06,"2019","Plecoptera"
"CASENT9132940","Plecoptera","Nemouridae","Malenka","sp.","6/6/19",2019-06-06,"2019","Plecoptera"
"CASENT9132062","Odonata","Gomphidae","Octogomphus","specularis","6/6/19",2019-06-06,"2019","Odonata"
"CASENT9130381","Trichoptera","Lepidostomatidae","Lepidostoma","unicolor","6/6/19",2019-06-06,"2019","Trichoptera"
"CASENT9131257","Trichoptera","Rhyacophilidae","Rhyacophila","sp.","6/6/19",2019-06-06,"2019","Trichoptera"
"CASENT9116204","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","6/6/19",2019-06-06,"2019","Ephemeroptera"
"CASENT9116205","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","6/6/19",2019-06-06,"2019","Ephemeroptera"
"CASENT9130662","Trichoptera","Glossosomatidae","Agapetus","sp.","6/6/19",2019-06-06,"2019","Trichoptera"
"CASENT9132626","Plecoptera","Perlodidae","Isoperla","denningi","6/6/19",2019-06-06,"2019","Plecoptera"
"CASENT9131359","Odonata","Coenagrionidae","Argia","vivida","6/6/19",2019-06-06,"2019","Odonata"
"CASENT9130266","Trichoptera","Philopotamidae","Wormaldia","sp.","6/6/19",2019-06-06,"2019","Trichoptera"
"CASENT9130447","Trichoptera","Sericostomatidae","Gumaga","sp.","6/6/19",2019-06-06,"2019","Trichoptera"
"CASENT9132181","Plecoptera","Chloroperlidae","Sweltsa","sp.","6/6/19",2019-06-06,"2019","Plecoptera"
"CASENT9131031","Trichoptera","Hydropsychidae","Hydropsyche","sp.","6/6/19",2019-06-06,"2019","Trichoptera"
"CASENT9130481","Trichoptera","Hydropsychidae","Hydropsyche","sp.","6/6/19",2019-06-06,"2019","Trichoptera"
"CASENT9131159","Trichoptera","Rhyacophilidae","Rhyacophila","vedra","6/7/19",2019-06-07,"2019","Trichoptera"
"CASENT9130211","Trichoptera","Philopotamidae","Wormaldia","gabriella","6/7/19",2019-06-07,"2019","Trichoptera"
"CASENT9130790","Trichoptera","Lepidostomatidae","Lepidostoma","sp.","6/7/19",2019-06-07,"2019","Trichoptera"
"CASENT9132954","Plecoptera","Nemouridae","Malenka","sp.","6/7/19",2019-06-07,"2019","Plecoptera"
"CASENT9131211","Trichoptera","Hydropsychidae","Ceratopsyche","oslari","6/5/19",2019-06-05,"2019","Trichoptera"
"CASENT9131408","Trichoptera","Rhyacophilidae","Rhyacophila","vedra","6/5/19",2019-06-05,"2019","Trichoptera"
"CASENT9130172","Trichoptera","Philopotamidae","Wormaldia","gabriela","6/5/19",2019-06-05,"2019","Trichoptera"
